epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.5009,3.52511,4.51847,4.16667,0.00132,0.29505,0.00263,0,0.00054,3.41628,4.58266,4.13361,0.000327381,0.000327381,0.000327381
2,34.9709,3.29191,4.23084,3.81737,0.0025,0.40262,0.02975,0.00071,0.00684,3.21617,4.3728,4.03074,0.000656354,0.000656354,0.000656354
3,50.4669,2.87664,3.90403,3.31578,0.8352,0.16667,0.0391,0.00189,0.00826,2.9922,4.28689,3.52115,0.000980926,0.000980926,0.000980926
4,66.1634,2.54842,3.44839,2.9301,0.55568,0.07843,0.12906,0.0215,0.05287,2.87496,8.66067,3.25427,0.0009802,0.0009802,0.0009802
5,81.9395,2.33776,3.0999,2.69497,0.79129,0.12916,0.16063,0.01169,0.05363,2.49182,3.73862,2.85832,0.0009736,0.0009736,0.0009736
6,98.1823,2.20174,2.82566,2.53092,0.09866,0.13716,0.15865,0.07151,0.06705,2.43539,4.05109,2.82036,0.000967,0.000967,0.000967
7,114.421,2.09548,2.62222,2.40913,0.37895,0.4892,0.30545,0.11237,0.13885,2.00196,2.48135,2.46812,0.0009604,0.0009604,0.0009604
8,130.184,2.03403,2.46773,2.32471,0.3007,0.43888,0.35119,0.09215,0.13362,2.0589,2.30828,2.47403,0.0009538,0.0009538,0.0009538
9,145.86,1.94518,2.35395,2.24816,0.30185,0.48553,0.25746,0.03628,0.09937,2.22764,3.13696,2.69787,0.0009472,0.0009472,0.0009472
10,161.328,1.91654,2.22422,2.19453,0.437,0.55719,0.46466,0.15836,0.20242,1.9139,2.04074,2.24916,0.0009406,0.0009406,0.0009406
11,176.806,1.86452,2.17317,2.13376,0.18398,0.41105,0.28893,0.13448,0.1356,1.96752,2.30705,2.37093,0.000934,0.000934,0.000934
12,192.256,1.84362,2.12308,2.11674,0.47739,0.53636,0.44205,0.16693,0.19148,2.00329,2.05504,2.34,0.0009274,0.0009274,0.0009274
13,207.855,1.78933,2.04755,2.06922,0.39398,0.56052,0.48418,0.26034,0.26459,1.71474,1.88358,2.06602,0.0009208,0.0009208,0.0009208
14,223.609,1.77687,2.01028,2.04349,0.19389,0.3226,0.34843,0.07733,0.13001,2.03534,2.5792,2.38972,0.0009142,0.0009142,0.0009142
15,239.213,1.75865,2.00934,2.03571,0.61764,0.5008,0.62251,0.26367,0.30854,1.69213,1.8481,2.06693,0.0009076,0.0009076,0.0009076
16,255.163,1.74079,1.96985,2.01665,0.42778,0.60782,0.54861,0.28578,0.29649,1.73363,1.88999,2.11064,0.000901,0.000901,0.000901
17,270.906,1.72048,1.9273,1.99309,0.32304,0.61515,0.52886,0.26878,0.28431,1.62111,1.80196,1.94282,0.0008944,0.0008944,0.0008944
18,286.465,1.69451,1.89494,1.96861,0.24745,0.42895,0.36024,0.12614,0.16475,1.84062,2.11878,2.13007,0.0008878,0.0008878,0.0008878
19,302.407,1.70429,1.88063,1.97164,0.41483,0.72,0.54944,0.30079,0.29473,1.62769,1.76512,1.97116,0.0008812,0.0008812,0.0008812
20,318.674,1.69751,1.8617,1.95816,0.47794,0.55422,0.52241,0.27153,0.29089,1.65642,1.70276,1.9911,0.0008746,0.0008746,0.0008746
21,334.477,1.67674,1.82277,1.93162,0.5993,0.54787,0.5868,0.24893,0.29522,1.68766,1.63987,2.03193,0.000868,0.000868,0.000868
22,350.614,1.67292,1.83216,1.93356,0.40972,0.67451,0.52734,0.21224,0.24008,1.69004,1.77313,1.94187,0.0008614,0.0008614,0.0008614
23,366.924,1.68405,1.82176,1.92255,0.57948,0.66134,0.67269,0.35814,0.35021,1.67795,1.50021,1.96224,0.0008548,0.0008548,0.0008548
24,383.435,1.65089,1.7991,1.91197,0.71546,0.48125,0.56723,0.27692,0.29139,1.74321,1.63581,1.98435,0.0008482,0.0008482,0.0008482
25,399.217,1.63203,1.76805,1.90205,0.4615,0.66548,0.6072,0.25728,0.33087,1.73189,1.5703,2.00141,0.0008416,0.0008416,0.0008416
26,415.03,1.64258,1.74432,1.89104,0.71738,0.53578,0.57959,0.3428,0.33418,1.59149,1.53252,1.91838,0.000835,0.000835,0.000835
27,431.102,1.6117,1.73565,1.86716,0.49892,0.72292,0.66048,0.35676,0.36853,1.48109,1.43804,1.79607,0.0008284,0.0008284,0.0008284
28,446.996,1.62519,1.72786,1.87641,0.7314,0.64955,0.71072,0.41263,0.3833,1.51735,1.49228,1.79638,0.0008218,0.0008218,0.0008218
29,463.168,1.60113,1.71444,1.85717,0.49233,0.62114,0.61631,0.42517,0.35553,1.50489,1.45236,1.79084,0.0008152,0.0008152,0.0008152
30,479.05,1.63196,1.73658,1.88126,0.59424,0.67841,0.66412,0.43831,0.38885,1.46855,1.46626,1.7781,0.0008086,0.0008086,0.0008086
31,494.88,1.59365,1.69559,1.84621,0.59846,0.65902,0.66467,0.33577,0.34666,1.60502,1.45032,1.85591,0.000802,0.000802,0.000802
32,510.655,1.61288,1.71877,1.86849,0.71758,0.62275,0.647,0.42953,0.37591,1.48055,1.41939,1.75829,0.0007954,0.0007954,0.0007954
33,526.747,1.58418,1.6876,1.84763,0.50251,0.68656,0.65827,0.37862,0.36392,1.53562,1.43082,1.77662,0.0007888,0.0007888,0.0007888
34,542.817,1.58025,1.65568,1.83512,0.52976,0.72386,0.66999,0.35455,0.37269,1.55478,1.39851,1.83682,0.0007822,0.0007822,0.0007822
35,558.278,1.58904,1.68438,1.85195,0.48022,0.6494,0.57121,0.30267,0.29973,1.75093,1.63862,2.0477,0.0007756,0.0007756,0.0007756
36,574.054,1.56424,1.66725,1.82499,0.63223,0.68081,0.71529,0.39848,0.41184,1.44351,1.39622,1.7098,0.000769,0.000769,0.000769
37,590.308,1.55614,1.645,1.81588,0.67262,0.73655,0.75731,0.44095,0.42123,1.53444,1.38371,1.81409,0.0007624,0.0007624,0.0007624
38,606.415,1.5538,1.62884,1.81601,0.55294,0.69705,0.71478,0.41168,0.41425,1.61461,1.37796,1.82454,0.0007558,0.0007558,0.0007558
