epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.3866,0.60862,4.51431,4.16129,0.00136,0.29505,0.00285,0,0.0005,0.59263,4.58736,4.12062,0.000327381,0.000327381,0.000327381
2,34.9776,0.59384,4.21495,3.8238,0.00338,0.34884,0.01406,0.00052,0.0032,0.57868,4.4632,3.88826,0.000656354,0.000656354,0.000656354
3,51.1443,0.5407,3.82293,3.32556,0.00344,0.41735,0.02589,0.00294,0.00752,0.55135,4.05194,3.51678,0.000980926,0.000980926,0.000980926
4,67.2235,0.47948,3.34695,2.97361,0.73476,0.07283,0.08844,0.00688,0.02705,0.46846,4.13047,3.09557,0.0009802,0.0009802,0.0009802
5,83.3226,0.43351,3.04151,2.75183,0.50086,0.43543,0.29435,0.03532,0.08312,0.44531,3.10211,2.90079,0.0009736,0.0009736,0.0009736
6,99.518,0.40307,2.7927,2.5919,0.3949,0.32431,0.29584,0.0694,0.11021,0.3939,3.08537,2.67018,0.000967,0.000967,0.000967
7,115.542,0.38122,2.5995,2.47736,0.81435,0.26075,0.3458,0.09434,0.14823,0.35639,2.51989,2.50469,0.0009604,0.0009604,0.0009604
8,131.426,0.36974,2.47289,2.39634,0.71616,0.37654,0.38392,0.16641,0.1868,0.36256,2.61827,2.55665,0.0009538,0.0009538,0.0009538
9,147.286,0.35584,2.38238,2.32624,0.71693,0.34205,0.4533,0.12081,0.17655,0.36118,2.13966,2.42924,0.0009472,0.0009472,0.0009472
10,162.917,0.34593,2.25029,2.25936,0.46597,0.40128,0.34799,0.06467,0.13751,0.38866,2.28155,2.60949,0.0009406,0.0009406,0.0009406
11,179.076,0.34206,2.20629,2.22828,0.30716,0.47994,0.34307,0.10082,0.15171,0.35811,2.71654,2.41379,0.000934,0.000934,0.000934
12,195.011,0.33708,2.17143,2.22333,0.57844,0.5258,0.56296,0.23197,0.25976,0.32606,1.95293,2.23605,0.0009274,0.0009274,0.0009274
