epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.4622,3.66086,4.51667,4.16719,0.00133,0.29505,0.00284,0,0.00064,3.53963,4.58416,4.13245,0.000327381,0.000327381,0.000327381
2,37.7495,3.46514,4.24394,3.81928,0.00225,0.38301,0.01442,0,0.00244,3.47379,4.47092,4.02585,0.000656354,0.000656354,0.000656354
3,54.5124,3.03421,3.87132,3.29749,0.01482,0.37875,0.01707,0.00094,0.00362,3.37032,4.36154,3.60797,0.000980926,0.000980926,0.000980926
4,71.0912,2.71023,3.4229,2.9284,0.44309,0.1914,0.10229,0.00586,0.02481,2.86678,3.61606,3.14971,0.0009802,0.0009802,0.0009802
5,87.6152,2.5055,3.10518,2.69825,0.73697,0.20827,0.17988,0.01263,0.06043,2.6957,3.72779,2.8382,0.0009736,0.0009736,0.0009736
6,103.907,2.36773,2.83935,2.54443,0.32905,0.31121,0.21613,0.06025,0.09234,2.57986,3.09719,2.8022,0.000967,0.000967,0.000967
7,119.972,2.23821,2.65826,2.42832,0.45308,0.23106,0.2826,0.02946,0.10218,2.33133,2.86887,2.57277,0.0009604,0.0009604,0.0009604
8,136.326,2.15352,2.46656,2.32284,0.21169,0.39099,0.29497,0.05214,0.10863,2.31222,3.34235,2.5852,0.0009538,0.0009538,0.0009538
9,152.385,2.03952,2.35101,2.21982,0.68311,0.2707,0.31465,0.18459,0.15945,1.86943,2.48275,2.1886,0.0009472,0.0009472,0.0009472
10,168.733,2.00645,2.20717,2.17529,0.35924,0.50053,0.4029,0.15896,0.18332,2.07976,2.13933,2.34054,0.0009406,0.0009406,0.0009406
11,184.491,1.96167,2.17483,2.12142,0.57849,0.34468,0.42861,0.15825,0.18596,2.02219,2.1778,2.23069,0.000934,0.000934,0.000934
12,200.324,1.95112,2.1224,2.11965,0.786,0.25957,0.35884,0.07051,0.13217,2.26383,2.70423,2.45698,0.0009274,0.0009274,0.0009274
13,216.335,1.89627,2.04106,2.06592,0.38095,0.27285,0.26112,0.09157,0.12247,2.30667,2.81277,2.47582,0.0009208,0.0009208,0.0009208
14,232.18,1.87506,2.01958,2.03843,0.61316,0.54109,0.55454,0.24618,0.29335,1.77521,1.85618,1.99864,0.0009142,0.0009142,0.0009142
15,248.274,1.84449,1.9807,2.02883,0.49052,0.56459,0.52952,0.21816,0.2318,1.88198,1.92626,2.14279,0.0009076,0.0009076,0.0009076
16,264.66,1.84013,1.9719,2.01389,0.54849,0.66488,0.6305,0.30735,0.31966,1.77892,1.7544,1.96172,0.000901,0.000901,0.000901
17,280.795,1.82217,1.9287,1.99752,0.54405,0.3007,0.42205,0.11278,0.17333,1.95199,2.4982,2.20035,0.0008944,0.0008944,0.0008944
18,296.597,1.7925,1.8794,1.96527,0.57561,0.51828,0.52972,0.29007,0.27941,1.71243,1.84769,1.94143,0.0008878,0.0008878,0.0008878
19,312.335,1.80786,1.89222,1.97146,0.5347,0.55752,0.52598,0.12813,0.21315,1.97019,1.94354,2.12691,0.0008812,0.0008812,0.0008812
20,328.621,1.77989,1.86178,1.94721,0.4022,0.55048,0.46101,0.18678,0.21421,1.93561,2.06674,2.02768,0.0008746,0.0008746,0.0008746
21,344.555,1.74834,1.82149,1.91548,0.66623,0.55588,0.56475,0.30763,0.30481,1.76674,1.6864,1.925,0.000868,0.000868,0.000868
22,360.261,1.75578,1.8322,1.93014,0.46875,0.60815,0.59009,0.25147,0.28236,1.83815,1.72517,2.06712,0.0008614,0.0008614,0.0008614
23,375.842,1.77135,1.82256,1.9245,0.72013,0.48494,0.58483,0.19026,0.27183,1.97751,1.73207,2.12996,0.0008548,0.0008548,0.0008548
24,391.309,1.72,1.80519,1.91003,0.85507,0.23977,0.39522,0.15369,0.19597,1.93503,2.27694,2.16787,0.0008482,0.0008482,0.0008482
25,407.288,1.70188,1.75348,1.88996,0.591,0.38032,0.40613,0.1939,0.20373,2.03605,2.35995,2.14397,0.0008416,0.0008416,0.0008416
26,423.363,1.71492,1.74734,1.88617,0.57582,0.65724,0.66181,0.38394,0.37471,1.65765,1.5018,1.8879,0.000835,0.000835,0.000835
27,439.566,1.6736,1.72405,1.85642,0.58468,0.4623,0.53367,0.17642,0.22013,1.88105,2.25119,2.08305,0.0008284,0.0008284,0.0008284
