epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.5606,3.63344,4.50462,4.13413,0.00153,0.41567,0.00385,6e-05,0.00078,3.54522,4.57868,4.10837,0.000327381,0.000327381,0.000327381
2,41.0721,3.20496,4.08656,3.60609,0.00243,0.4183,0.01678,0.00038,0.00281,3.4584,4.30147,3.9323,0.000656354,0.000656354,0.000656354
3,56.3494,2.823,3.6459,3.1639,0.02125,0.25739,0.03792,0.00078,0.00809,3.22813,4.44006,3.60882,0.000980926,0.000980926,0.000980926
4,70.2793,2.54769,3.24554,2.86386,0.14028,0.39619,0.20241,0.01821,0.06722,2.41089,3.92734,2.95018,0.0009802,0.0009802,0.0009802
5,85.3562,2.34079,2.99031,2.68355,0.48566,0.09104,0.07189,0.00299,0.02227,3.04014,6.79224,3.23239,0.0009736,0.0009736,0.0009736
6,101.003,2.2138,2.73805,2.54449,0.63114,0.11043,0.12494,0.04393,0.04993,2.64516,3.49598,2.97472,0.000967,0.000967,0.000967
7,116.547,2.10261,2.54423,2.43335,0.53835,0.43473,0.45115,0.11515,0.17496,2.21561,2.42332,2.52168,0.0009604,0.0009604,0.0009604
8,132.427,2.04373,2.43367,2.35875,0.32267,0.4426,0.34269,0.12436,0.14057,2.15291,2.50736,2.62156,0.0009538,0.0009538,0.0009538
9,150.737,1.98213,2.35637,2.30536,0.36518,0.45128,0.42707,0.10204,0.16732,2.17764,2.21824,2.52492,0.0009472,0.0009472,0.0009472
10,167.76,1.93511,2.21659,2.25405,0.33547,0.56621,0.50933,0.10173,0.21788,2.1277,1.98419,2.50512,0.0009406,0.0009406,0.0009406
11,183.503,1.89638,2.1705,2.22492,0.79037,0.35749,0.53061,0.17653,0.22914,2.0989,1.98237,2.38944,0.000934,0.000934,0.000934
12,196.801,1.86617,2.13896,2.202,0.38316,0.48237,0.46818,0.12521,0.1749,2.32139,2.05596,2.52781,0.0009274,0.0009274,0.0009274
13,209.91,1.80987,2.0781,2.16573,0.55773,0.67465,0.65876,0.32908,0.3142,1.89882,1.77719,2.33334,0.0009208,0.0009208,0.0009208
14,223.7,1.80763,2.05024,2.14704,0.44933,0.2799,0.30603,0.10198,0.13337,2.28487,2.64183,2.69506,0.0009142,0.0009142,0.0009142
15,238.208,1.79016,2.00894,2.12606,0.49792,0.73934,0.68378,0.2566,0.31077,1.916,1.81146,2.30864,0.0009076,0.0009076,0.0009076
16,252.031,1.76908,1.98069,2.1173,0.50801,0.53102,0.53883,0.11078,0.21367,2.13429,2.01848,2.45627,0.000901,0.000901,0.000901
17,268.754,1.76469,1.96975,2.09259,0.59122,0.461,0.50521,0.19684,0.24355,1.94964,2.00342,2.29318,0.0008944,0.0008944,0.0008944
18,286.506,1.7347,1.92338,2.07089,0.57001,0.57571,0.57919,0.23909,0.28594,1.83744,1.79303,2.20608,0.0008878,0.0008878,0.0008878
19,302.784,1.77174,1.94037,2.09803,0.35664,0.72846,0.55335,0.22061,0.25637,1.80346,1.92205,2.17841,0.0008812,0.0008812,0.0008812
20,319.829,1.73147,1.89006,2.05819,0.54264,0.65748,0.62795,0.30408,0.32342,1.70272,1.74559,2.0784,0.0008746,0.0008746,0.0008746
