epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5273,3.63344,4.50462,4.13413,0.00153,0.41567,0.00385,6e-05,0.00078,3.54522,4.57868,4.10837,0.000327381,0.000327381,0.000327381
2,28.3687,3.20972,4.07537,3.60935,0.0037,0.42425,0.01507,0.00017,0.00323,3.50947,4.28577,3.9594,0.000658534,0.000658534,0.000658534
3,40.7101,2.82071,3.65465,3.16786,0.21454,0.32103,0.0771,0.00119,0.01555,3.19785,4.06138,3.53102,0.000987487,0.000987487,0.000987487
4,54.0727,2.5667,3.27208,2.87406,0.31722,0.26828,0.16474,0.03289,0.05722,2.35299,3.59998,2.85236,0.0009901,0.0009901,0.0009901
5,66.9493,2.34707,2.98589,2.67917,0.6701,0.1285,0.10987,0.01251,0.03632,2.49906,5.24685,2.90329,0.0009868,0.0009868,0.0009868
6,79.6578,2.212,2.73942,2.5341,0.24057,0.3203,0.17198,0.02455,0.05811,2.51658,3.36458,2.84749,0.0009835,0.0009835,0.0009835
7,92.6482,2.09983,2.54304,2.42181,0.51896,0.31289,0.29558,0.07943,0.11627,2.18922,2.82503,2.57905,0.0009802,0.0009802,0.0009802
8,105.658,2.05722,2.41998,2.35934,0.73593,0.13032,0.18703,0.04379,0.05785,2.29437,3.37106,2.82516,0.0009769,0.0009769,0.0009769
9,118.333,1.96136,2.3073,2.28353,0.60918,0.36545,0.49112,0.21379,0.24088,1.96731,2.24761,2.40778,0.0009736,0.0009736,0.0009736
10,130.76,1.92835,2.19599,2.24406,0.27511,0.49991,0.35854,0.05707,0.13248,2.18106,2.38389,2.67384,0.0009703,0.0009703,0.0009703
11,144.417,1.88488,2.14539,2.20188,0.47319,0.53162,0.46138,0.16519,0.2029,2.00804,2.09315,2.3755,0.000967,0.000967,0.000967
12,157.542,1.85563,2.13321,2.1957,0.76614,0.31886,0.3112,0.1127,0.13897,2.33171,2.71046,2.64404,0.0009637,0.0009637,0.0009637
13,169.787,1.79351,2.04769,2.14643,0.56042,0.31843,0.33985,0.08553,0.12793,2.12859,2.51041,2.55918,0.0009604,0.0009604,0.0009604
14,182.266,1.80312,2.03124,2.1427,0.62731,0.5484,0.59027,0.17087,0.25343,1.86689,1.84168,2.20433,0.0009571,0.0009571,0.0009571
15,194.972,1.778,1.97438,2.11457,0.50084,0.68223,0.63243,0.08898,0.22074,1.97649,1.8196,2.33605,0.0009538,0.0009538,0.0009538
16,207.753,1.75678,1.97778,2.11055,0.64089,0.45389,0.53316,0.15804,0.21994,2.0265,1.95916,2.38536,0.0009505,0.0009505,0.0009505
17,220.247,1.7496,1.94003,2.0913,0.52398,0.63742,0.64552,0.2238,0.27347,1.88357,1.77025,2.24604,0.0009472,0.0009472,0.0009472
18,232.435,1.72815,1.89964,2.07161,0.69262,0.59349,0.61356,0.27516,0.3319,1.96429,1.75079,2.23302,0.0009439,0.0009439,0.0009439
19,244.192,1.71351,1.89203,2.04656,0.45231,0.57174,0.65071,0.25523,0.29624,1.68521,1.67712,2.08738,0.0009406,0.0009406,0.0009406
20,255.951,1.72732,1.87783,2.05184,0.68934,0.69004,0.67589,0.26608,0.31988,1.72495,1.59895,2.07784,0.0009373,0.0009373,0.0009373
21,267.792,1.6952,1.832,2.02822,0.4428,0.40891,0.40692,0.12529,0.17063,2.07817,2.29732,2.45472,0.000934,0.000934,0.000934
22,280.439,1.71102,1.86983,2.03587,0.56458,0.66078,0.68958,0.27817,0.33465,1.74216,1.59041,2.07529,0.0009307,0.0009307,0.0009307
23,292.425,1.70222,1.85136,2.01591,0.74983,0.6836,0.73133,0.25857,0.36055,1.85699,1.51248,2.1564,0.0009274,0.0009274,0.0009274
24,304.447,1.67661,1.83813,2.01492,0.6079,0.58879,0.5276,0.22596,0.24303,1.9098,1.85505,2.20565,0.0009241,0.0009241,0.0009241
25,316.812,1.66212,1.78766,1.99166,0.52434,0.65486,0.6295,0.27746,0.3037,1.81344,1.71049,2.18767,0.0009208,0.0009208,0.0009208
26,329.177,1.67534,1.77823,1.99087,0.72503,0.7293,0.7527,0.39959,0.41231,1.61678,1.39829,1.95022,0.0009175,0.0009175,0.0009175
27,341.001,1.63135,1.75248,1.96309,0.56318,0.70025,0.7119,0.30517,0.32303,1.83699,1.60844,2.09939,0.0009142,0.0009142,0.0009142
28,353.145,1.64869,1.75606,1.96675,0.60914,0.66893,0.70835,0.31745,0.37148,1.74343,1.62765,2.07474,0.0009109,0.0009109,0.0009109
29,364.985,1.62357,1.71645,1.94792,0.50836,0.55664,0.62482,0.27626,0.33237,1.81981,1.54218,2.10691,0.0009076,0.0009076,0.0009076
30,378.075,1.65696,1.74862,1.97367,0.59591,0.75664,0.76048,0.52521,0.41676,1.56124,1.46347,1.89448,0.0009043,0.0009043,0.0009043
31,390.121,1.62135,1.71894,1.95094,0.52025,0.74021,0.7747,0.36861,0.3765,1.67027,1.35395,1.96387,0.000901,0.000901,0.000901
32,402.399,1.63247,1.72014,1.95709,0.63488,0.68237,0.73365,0.33784,0.35036,1.70841,1.47082,1.97435,0.0008977,0.0008977,0.0008977
33,414.604,1.61629,1.73258,1.95249,0.76641,0.60861,0.73744,0.43792,0.39801,1.65628,1.38133,1.9666,0.0008944,0.0008944,0.0008944
34,427.148,1.59834,1.67662,1.92735,0.77761,0.61437,0.71675,0.40779,0.3774,1.70796,1.44005,1.99073,0.0008911,0.0008911,0.0008911
35,439.65,1.62193,1.71091,1.9449,0.52247,0.72019,0.71805,0.2548,0.33307,1.82346,1.41081,2.19548,0.0008878,0.0008878,0.0008878
36,452.014,1.59049,1.69512,1.91321,0.53518,0.7442,0.70375,0.36001,0.37526,1.55512,1.37396,1.89568,0.0008845,0.0008845,0.0008845
37,463.771,1.5875,1.65397,1.901,0.66147,0.65747,0.64502,0.32575,0.33109,1.80546,1.53173,2.08566,0.0008812,0.0008812,0.0008812
38,476.653,1.59519,1.66242,1.90658,0.84218,0.66509,0.7501,0.32066,0.3644,1.67166,1.40582,1.96057,0.0008779,0.0008779,0.0008779
39,489.528,1.57581,1.68349,1.90384,0.55963,0.75249,0.71671,0.40595,0.37899,1.682,1.35716,1.99218,0.0008746,0.0008746,0.0008746
40,502.408,1.56947,1.62884,1.88612,0.55774,0.74676,0.72114,0.31376,0.37537,1.73797,1.33436,2.04426,0.0008713,0.0008713,0.0008713
41,515.016,1.56221,1.60962,1.88738,0.52958,0.77796,0.74145,0.384,0.39231,1.59766,1.41293,1.93283,0.000868,0.000868,0.000868
42,527.115,1.56921,1.64092,1.89805,0.57645,0.73007,0.70617,0.36514,0.36957,1.67097,1.38491,2.01066,0.0008647,0.0008647,0.0008647
43,539.976,1.56077,1.61346,1.87522,0.39019,0.385,0.35735,0.18045,0.19184,2.21588,2.55118,2.39393,0.0008614,0.0008614,0.0008614
44,553.007,1.55741,1.60646,1.86294,0.55159,0.62601,0.69017,0.44651,0.40083,1.57515,1.42023,1.88399,0.0008581,0.0008581,0.0008581
45,566.034,1.54731,1.59994,1.86682,0.53843,0.63545,0.69284,0.27304,0.38032,1.71316,1.42262,2.00746,0.0008548,0.0008548,0.0008548
46,578.885,1.54669,1.59114,1.86931,0.56064,0.73343,0.69453,0.39504,0.37787,1.7002,1.34918,1.96938,0.0008515,0.0008515,0.0008515
47,591.294,1.53512,1.59856,1.85005,0.59637,0.71612,0.74558,0.41889,0.40369,1.62551,1.40434,1.91477,0.0008482,0.0008482,0.0008482
48,603.6,1.5415,1.55454,1.85159,0.60402,0.66566,0.62504,0.36815,0.33163,1.67508,1.53752,1.99564,0.0008449,0.0008449,0.0008449
49,615.25,1.53603,1.56417,1.8505,0.77015,0.71534,0.73332,0.42027,0.39782,1.61699,1.34746,1.93652,0.0008416,0.0008416,0.0008416
50,627.193,1.53606,1.56131,1.84698,0.65307,0.7459,0.73334,0.38712,0.38115,1.66907,1.35324,1.95924,0.0008383,0.0008383,0.0008383
51,639.253,1.52358,1.55229,1.84029,0.54322,0.67565,0.624,0.35148,0.35525,1.66851,1.40558,2.0112,0.000835,0.000835,0.000835
52,651.329,1.52277,1.54776,1.82573,0.78425,0.71029,0.72755,0.39013,0.40412,1.69137,1.2556,1.97548,0.0008317,0.0008317,0.0008317
53,663.782,1.50917,1.51995,1.8267,0.70859,0.72404,0.75614,0.43265,0.45023,1.53742,1.22355,1.86168,0.0008284,0.0008284,0.0008284
54,676.515,1.52709,1.52954,1.83427,0.66809,0.78554,0.76101,0.39421,0.42474,1.59079,1.29534,1.89802,0.0008251,0.0008251,0.0008251
55,688.704,1.51835,1.53829,1.83011,0.79376,0.67162,0.76562,0.48274,0.43688,1.63055,1.33952,1.96929,0.0008218,0.0008218,0.0008218
56,700.748,1.50129,1.51533,1.82278,0.80848,0.69729,0.76939,0.52874,0.46613,1.51592,1.26412,1.8226,0.0008185,0.0008185,0.0008185
57,713.803,1.5005,1.52263,1.81634,0.54718,0.61342,0.61441,0.30052,0.32106,1.68878,1.45631,2.08101,0.0008152,0.0008152,0.0008152
58,726.271,1.49126,1.4955,1.80223,0.56693,0.74097,0.73341,0.41727,0.41917,1.52799,1.25799,1.84987,0.0008119,0.0008119,0.0008119
59,738.181,1.50834,1.52614,1.83115,0.64358,0.74798,0.75047,0.51747,0.46978,1.49376,1.22333,1.83409,0.0008086,0.0008086,0.0008086
60,750.854,1.49915,1.5124,1.80851,0.49661,0.78395,0.74235,0.40195,0.41178,1.63782,1.27038,1.92977,0.0008053,0.0008053,0.0008053
61,764.181,1.49522,1.51239,1.80783,0.72917,0.67996,0.76649,0.40844,0.42043,1.54331,1.25205,1.87341,0.000802,0.000802,0.000802
62,777.099,1.50153,1.50192,1.81389,0.67527,0.73277,0.76569,0.45552,0.41472,1.6425,1.27403,1.91796,0.0007987,0.0007987,0.0007987
63,790.617,1.5177,1.53186,1.82552,0.71924,0.65225,0.66239,0.34623,0.35528,1.5701,1.3686,1.9139,0.0007954,0.0007954,0.0007954
64,803.076,1.48484,1.48962,1.80226,0.66757,0.72237,0.75394,0.43673,0.43357,1.56246,1.24523,1.8564,0.0007921,0.0007921,0.0007921
65,817.483,1.49583,1.4918,1.80677,0.61632,0.76549,0.73319,0.3927,0.41988,1.59769,1.25357,1.92293,0.0007888,0.0007888,0.0007888
66,830.762,1.49609,1.48786,1.80684,0.70466,0.68812,0.71907,0.38452,0.40542,1.50914,1.27972,1.84369,0.0007855,0.0007855,0.0007855
67,845.244,1.48633,1.47199,1.79957,0.652,0.74378,0.76733,0.56389,0.4452,1.55945,1.16506,1.892,0.0007822,0.0007822,0.0007822
68,858.359,1.48333,1.46342,1.79351,0.62057,0.71367,0.73038,0.43239,0.40829,1.53994,1.31587,1.817,0.0007789,0.0007789,0.0007789
69,871.607,1.48319,1.49318,1.80309,0.64931,0.77257,0.78217,0.46512,0.43899,1.5618,1.18877,1.87917,0.0007756,0.0007756,0.0007756
70,883.989,1.47722,1.46525,1.79054,0.67124,0.78355,0.78637,0.40015,0.47084,1.41849,1.18148,1.75274,0.0007723,0.0007723,0.0007723
71,895.715,1.46013,1.45992,1.77065,0.68613,0.69977,0.72859,0.47886,0.43293,1.4571,1.23102,1.80456,0.000769,0.000769,0.000769
72,909.362,1.46999,1.44533,1.78931,0.61258,0.72198,0.73684,0.47162,0.43058,1.48216,1.23412,1.80653,0.0007657,0.0007657,0.0007657
73,923.302,1.47774,1.45551,1.79553,0.58836,0.52721,0.57813,0.21341,0.27569,1.91085,1.88039,2.19057,0.0007624,0.0007624,0.0007624
74,937.209,1.4416,1.41958,1.76264,0.60834,0.69023,0.70291,0.42462,0.41349,1.54724,1.27438,1.90428,0.0007591,0.0007591,0.0007591
75,950.358,1.4688,1.42825,1.77791,0.72214,0.72872,0.74284,0.40771,0.41993,1.57557,1.21058,1.9038,0.0007558,0.0007558,0.0007558
76,962.924,1.47206,1.47494,1.79004,0.81184,0.69817,0.74957,0.42274,0.41738,1.53087,1.27901,1.82073,0.0007525,0.0007525,0.0007525
77,974.458,1.45324,1.42631,1.76925,0.65321,0.76462,0.77516,0.445,0.43594,1.51784,1.201,1.78799,0.0007492,0.0007492,0.0007492
78,986.688,1.44978,1.41756,1.76271,0.72765,0.61059,0.66278,0.32661,0.3607,1.68894,1.48523,1.94259,0.0007459,0.0007459,0.0007459
79,999.076,1.46045,1.44333,1.76991,0.71838,0.76824,0.77936,0.42821,0.44061,1.51132,1.21856,1.81158,0.0007426,0.0007426,0.0007426
80,1012.59,1.43294,1.40951,1.75012,0.83926,0.62822,0.73608,0.48888,0.43848,1.46688,1.19854,1.813,0.0007393,0.0007393,0.0007393
81,1025.47,1.42028,1.38556,1.74652,0.73229,0.6692,0.75659,0.44007,0.4431,1.47061,1.25171,1.7676,0.000736,0.000736,0.000736
82,1039.45,1.43991,1.41459,1.76678,0.73551,0.66582,0.71317,0.44501,0.39987,1.61689,1.27704,1.88808,0.0007327,0.0007327,0.0007327
83,1053.03,1.41511,1.37088,1.74122,0.70074,0.74171,0.78818,0.48787,0.4504,1.56854,1.23987,1.87281,0.0007294,0.0007294,0.0007294
84,1065.67,1.43895,1.42334,1.75917,0.74398,0.69796,0.79099,0.42687,0.45488,1.52613,1.16751,1.86667,0.0007261,0.0007261,0.0007261
85,1079.06,1.41949,1.39968,1.7533,0.5543,0.75972,0.73288,0.38785,0.42047,1.56197,1.25883,1.87795,0.0007228,0.0007228,0.0007228
86,1093.1,1.43793,1.39406,1.7588,0.64923,0.73398,0.74757,0.43365,0.41359,1.56704,1.25941,1.86842,0.0007195,0.0007195,0.0007195
87,1107.69,1.42838,1.38608,1.74163,0.77144,0.69231,0.76617,0.45191,0.44326,1.50813,1.23536,1.78492,0.0007162,0.0007162,0.0007162
88,1122.6,1.42528,1.40432,1.7457,0.62388,0.76222,0.742,0.47116,0.46081,1.53789,1.18104,1.85871,0.0007129,0.0007129,0.0007129
89,1139.54,1.4392,1.40904,1.75409,0.69128,0.75481,0.7823,0.55782,0.47326,1.50412,1.17879,1.82695,0.0007096,0.0007096,0.0007096
90,1154.62,1.43245,1.40467,1.75417,0.73392,0.66988,0.73038,0.42279,0.41324,1.54867,1.26373,1.8387,0.0007063,0.0007063,0.0007063
91,1169.72,1.42058,1.38646,1.74311,0.69561,0.65419,0.73104,0.45715,0.42442,1.60656,1.28222,1.87098,0.000703,0.000703,0.000703
92,1184.91,1.42353,1.37281,1.74152,0.68087,0.72461,0.76289,0.51237,0.45693,1.54886,1.17996,1.80481,0.0006997,0.0006997,0.0006997
93,1199.04,1.38932,1.35393,1.71055,0.68045,0.7057,0.75162,0.49866,0.46958,1.50636,1.14402,1.81749,0.0006964,0.0006964,0.0006964
94,1212.29,1.40651,1.35205,1.73042,0.77776,0.72429,0.79114,0.53754,0.4873,1.43747,1.16424,1.76234,0.0006931,0.0006931,0.0006931
95,1226.87,1.40466,1.3678,1.73494,0.70217,0.74933,0.7441,0.46994,0.42857,1.53706,1.19624,1.84403,0.0006898,0.0006898,0.0006898
96,1240.59,1.41731,1.37649,1.72811,0.61751,0.78331,0.77606,0.48085,0.43257,1.60625,1.20942,1.88137,0.0006865,0.0006865,0.0006865
97,1253.8,1.40137,1.3558,1.72788,0.82675,0.72095,0.80438,0.5263,0.48321,1.46393,1.10806,1.77581,0.0006832,0.0006832,0.0006832
98,1266.55,1.40566,1.3569,1.73169,0.6197,0.74282,0.77317,0.54715,0.47704,1.55863,1.23698,1.83337,0.0006799,0.0006799,0.0006799
99,1279.05,1.41712,1.37151,1.73621,0.65903,0.76462,0.73334,0.51084,0.43358,1.5863,1.17227,1.91788,0.0006766,0.0006766,0.0006766
100,1291.4,1.40788,1.36755,1.7269,0.7718,0.73616,0.77637,0.49215,0.45792,1.51582,1.15842,1.82975,0.0006733,0.0006733,0.0006733
101,1304.2,1.41059,1.35096,1.73604,0.64349,0.74529,0.7293,0.43827,0.417,1.54989,1.16244,1.80788,0.00067,0.00067,0.00067
102,1316.61,1.40418,1.35174,1.72723,0.59562,0.78566,0.72855,0.4334,0.4359,1.53732,1.18977,1.80625,0.0006667,0.0006667,0.0006667
103,1329.84,1.40645,1.34688,1.72343,0.71184,0.74545,0.76006,0.45381,0.43567,1.5234,1.15532,1.80935,0.0006634,0.0006634,0.0006634
104,1342.59,1.39081,1.36113,1.72436,0.73161,0.68396,0.73751,0.37762,0.40904,1.64497,1.1257,1.88848,0.0006601,0.0006601,0.0006601
105,1357.68,1.38008,1.34126,1.72125,0.69375,0.74778,0.75773,0.46069,0.44351,1.52987,1.13456,1.82602,0.0006568,0.0006568,0.0006568
106,1371.04,1.39406,1.358,1.72339,0.61679,0.71523,0.76014,0.51307,0.4689,1.51282,1.12108,1.81595,0.0006535,0.0006535,0.0006535
107,1384.11,1.42612,1.34213,1.74016,0.64624,0.80362,0.76499,0.40219,0.41515,1.66859,1.17004,1.96053,0.0006502,0.0006502,0.0006502
