epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4807,1.5331,3.34146,1.69226,0.88544,0.13325,0.4937,0.1892,0.23008,1.46234,3.62557,1.67992,0.000327381,0.000327381,0.000327381
2,35.9157,1.54545,2.20337,1.65748,0.57548,0.49797,0.54392,0.25911,0.27696,1.51771,2.3999,1.83576,0.000656354,0.000656354,0.000656354
3,51.6177,1.49065,1.97137,1.63699,0.71163,0.42336,0.46965,0.27393,0.23709,1.63302,2.3511,1.96971,0.000980926,0.000980926,0.000980926
4,66.7758,1.49397,1.89373,1.66056,0.4427,0.48654,0.54655,0.25998,0.29802,1.41927,2.25844,1.8128,0.0009802,0.0009802,0.0009802
5,81.911,1.46878,1.80286,1.6551,0.48438,0.71083,0.68817,0.28049,0.34676,1.56112,1.69012,1.76578,0.0009736,0.0009736,0.0009736
6,97.4043,1.43168,1.69357,1.62362,0.62756,0.6515,0.65579,0.25559,0.33277,1.63574,1.69472,1.88104,0.000967,0.000967,0.000967
7,113.038,1.44769,1.65876,1.62954,0.54647,0.67911,0.64116,0.29219,0.3189,1.72444,1.66276,1.94424,0.0009604,0.0009604,0.0009604
8,128.936,1.41555,1.60375,1.61302,0.71343,0.59675,0.69352,0.37459,0.3846,1.62656,1.6208,1.75071,0.0009538,0.0009538,0.0009538
9,144.28,1.39852,1.58629,1.60155,0.40406,0.59843,0.53116,0.3413,0.32039,1.60067,1.73029,1.83709,0.0009472,0.0009472,0.0009472
10,159.833,1.38787,1.52688,1.60086,0.77105,0.42586,0.53496,0.29453,0.28942,1.64791,2.46503,1.93841,0.0009406,0.0009406,0.0009406
11,175.341,1.36549,1.49607,1.57998,0.61444,0.70706,0.72997,0.38725,0.42415,1.61416,1.26516,1.87564,0.000934,0.000934,0.000934
12,191.105,1.38688,1.49625,1.60649,0.5559,0.53132,0.60293,0.24912,0.27718,1.77195,1.9037,1.99061,0.0009274,0.0009274,0.0009274
13,206.922,1.37016,1.42924,1.59889,0.57679,0.71285,0.74969,0.41235,0.42472,1.55258,1.38093,1.79542,0.0009208,0.0009208,0.0009208
14,222.591,1.37154,1.44685,1.58546,0.73171,0.63542,0.75703,0.39596,0.39941,1.5416,1.29325,1.72849,0.0009142,0.0009142,0.0009142
15,237.805,1.3622,1.41199,1.59661,0.60804,0.67836,0.69549,0.30696,0.3543,1.5284,1.54577,1.68708,0.0009076,0.0009076,0.0009076
16,252.979,1.35855,1.39464,1.58483,0.72053,0.57452,0.6716,0.36721,0.35701,1.60193,1.68916,1.77958,0.000901,0.000901,0.000901
17,268.178,1.34533,1.36843,1.5792,0.81101,0.52518,0.66102,0.32464,0.34237,1.66653,1.43859,1.81511,0.0008944,0.0008944,0.0008944
18,283.524,1.33642,1.36029,1.58008,0.6202,0.7584,0.76796,0.43362,0.44788,1.47932,1.22053,1.76695,0.0008878,0.0008878,0.0008878
19,299.199,1.34229,1.36807,1.58097,0.57116,0.78424,0.80763,0.45198,0.46054,1.40862,1.16484,1.67117,0.0008812,0.0008812,0.0008812
20,314.956,1.33864,1.3501,1.56949,0.68062,0.72807,0.78566,0.43612,0.46552,1.44796,1.16044,1.65217,0.0008746,0.0008746,0.0008746
21,330.617,1.33242,1.32665,1.56939,0.82624,0.58997,0.71731,0.39927,0.38284,1.57694,1.37243,1.74627,0.000868,0.000868,0.000868
22,346.14,1.33181,1.32765,1.56607,0.62677,0.62309,0.7323,0.36866,0.39045,1.53115,1.40358,1.75944,0.0008614,0.0008614,0.0008614
23,361.311,1.33027,1.30504,1.55392,0.7237,0.70115,0.80328,0.46383,0.45153,1.51718,1.18155,1.68175,0.0008548,0.0008548,0.0008548
24,376.917,1.321,1.31672,1.5651,0.72361,0.62031,0.66998,0.42149,0.38315,1.5691,1.26971,1.75899,0.0008482,0.0008482,0.0008482
25,392.468,1.31556,1.29024,1.54945,0.64917,0.64062,0.71191,0.42042,0.38893,1.44491,1.47248,1.69559,0.0008416,0.0008416,0.0008416
26,408.332,1.32022,1.27513,1.54342,0.80857,0.70381,0.7848,0.44538,0.4287,1.62145,1.12694,1.82492,0.000835,0.000835,0.000835
27,424.095,1.28612,1.25506,1.52841,0.58635,0.57452,0.7084,0.41881,0.43276,1.42373,1.43413,1.73766,0.0008284,0.0008284,0.0008284
28,439.61,1.31622,1.2922,1.56168,0.85509,0.62233,0.7333,0.42834,0.39443,1.61198,1.45151,1.8332,0.0008218,0.0008218,0.0008218
29,454.864,1.28833,1.26028,1.54669,0.78102,0.72639,0.74811,0.49282,0.46607,1.42234,1.10913,1.66749,0.0008152,0.0008152,0.0008152
30,470.225,1.31577,1.2552,1.56067,0.73605,0.70917,0.78109,0.49792,0.46512,1.45081,1.13116,1.6692,0.0008086,0.0008086,0.0008086
31,486.21,1.28743,1.25176,1.55194,0.71696,0.78293,0.7906,0.50773,0.47972,1.40913,1.11823,1.63888,0.000802,0.000802,0.000802
32,501.594,1.29464,1.241,1.54818,0.74958,0.69463,0.73612,0.49553,0.44551,1.45911,1.14564,1.68299,0.0007954,0.0007954,0.0007954
33,516.965,1.28548,1.247,1.54289,0.69271,0.75661,0.76531,0.44007,0.42684,1.62883,1.14637,1.86688,0.0007888,0.0007888,0.0007888
34,532.217,1.2755,1.2166,1.53092,0.73784,0.71518,0.73059,0.48689,0.44651,1.42959,1.13292,1.73739,0.0007822,0.0007822,0.0007822
35,547.905,1.28375,1.22603,1.53668,0.6768,0.79264,0.74542,0.47417,0.45961,1.42481,1.14625,1.68165,0.0007756,0.0007756,0.0007756
36,563.866,1.26852,1.21903,1.52448,0.76243,0.71592,0.79595,0.46606,0.49925,1.31646,1.11444,1.61148,0.000769,0.000769,0.000769
37,579.717,1.25322,1.19191,1.50985,0.794,0.64801,0.74908,0.41231,0.42539,1.46236,1.23991,1.7093,0.0007624,0.0007624,0.0007624
38,595.472,1.26025,1.18377,1.52016,0.73015,0.75212,0.78618,0.46786,0.47493,1.50918,1.03207,1.77105,0.0007558,0.0007558,0.0007558
39,610.793,1.24141,1.20095,1.50917,0.66652,0.71298,0.76394,0.45146,0.4478,1.46253,1.13405,1.72115,0.0007492,0.0007492,0.0007492
40,626.589,1.25604,1.17522,1.51077,0.78686,0.70964,0.78835,0.45193,0.47094,1.46957,1.1077,1.7103,0.0007426,0.0007426,0.0007426
41,642.473,1.23596,1.15927,1.51251,0.71937,0.76554,0.76589,0.43603,0.42541,1.48737,1.21651,1.68273,0.000736,0.000736,0.000736
42,658.102,1.25403,1.16298,1.517,0.7042,0.73189,0.74529,0.40442,0.42288,1.57364,1.14917,1.81152,0.0007294,0.0007294,0.0007294
43,673.683,1.25292,1.14627,1.49268,0.64202,0.67953,0.77098,0.39704,0.43811,1.49631,1.21083,1.59048,0.0007228,0.0007228,0.0007228
44,688.99,1.23886,1.14349,1.49289,0.62279,0.61355,0.68444,0.3968,0.38188,1.58447,1.45909,1.83226,0.0007162,0.0007162,0.0007162
45,704.145,1.2246,1.13007,1.49857,0.68172,0.76922,0.77891,0.47589,0.48313,1.36251,1.06651,1.58612,0.0007096,0.0007096,0.0007096
46,719.589,1.22696,1.12763,1.48959,0.66511,0.68897,0.72612,0.4746,0.43209,1.418,1.17266,1.65918,0.000703,0.000703,0.000703
47,734.941,1.23412,1.1269,1.49944,0.78785,0.67855,0.7592,0.47813,0.46676,1.3994,1.19043,1.64752,0.0006964,0.0006964,0.0006964
48,750.648,1.21788,1.10499,1.48399,0.72223,0.64816,0.68245,0.39386,0.3685,1.66293,1.16112,1.88205,0.0006898,0.0006898,0.0006898
49,766.23,1.2058,1.09979,1.47654,0.87781,0.67571,0.81693,0.44556,0.44587,1.59634,1.00894,1.86843,0.0006832,0.0006832,0.0006832
50,781.651,1.20815,1.09476,1.48101,0.67806,0.74671,0.76248,0.45325,0.45975,1.47442,0.99922,1.76158,0.0006766,0.0006766,0.0006766
51,796.985,1.20969,1.10194,1.4831,0.78234,0.7585,0.79091,0.482,0.42513,1.49861,1.13223,1.7533,0.00067,0.00067,0.00067
52,812.411,1.19714,1.11167,1.46517,0.54096,0.68337,0.56524,0.27425,0.28729,1.61868,1.85869,1.97044,0.0006634,0.0006634,0.0006634
53,827.833,1.19374,1.07007,1.46366,0.71825,0.73318,0.75489,0.30497,0.36974,1.61467,1.26823,1.83735,0.0006568,0.0006568,0.0006568
54,843.092,1.21181,1.06919,1.48382,0.77557,0.72083,0.78119,0.49713,0.46863,1.45458,1.16235,1.71083,0.0006502,0.0006502,0.0006502
55,859.245,1.20495,1.07001,1.47716,0.61428,0.70832,0.71119,0.42923,0.41742,1.58033,1.16413,1.80018,0.0006436,0.0006436,0.0006436
56,874.851,1.18754,1.07918,1.4667,0.76141,0.75346,0.77857,0.46006,0.43244,1.46918,1.09401,1.68237,0.000637,0.000637,0.000637
57,890.54,1.20284,1.06689,1.47656,0.84955,0.66359,0.77843,0.40829,0.38956,1.55637,1.18577,1.81988,0.0006304,0.0006304,0.0006304
58,906.038,1.17887,1.04823,1.45541,0.57758,0.72545,0.69414,0.37373,0.35279,1.66984,1.38054,1.93391,0.0006238,0.0006238,0.0006238
59,921.415,1.19881,1.05333,1.46659,0.69823,0.76358,0.77937,0.56418,0.48198,1.4308,1.07093,1.6858,0.0006172,0.0006172,0.0006172
60,936.942,1.17101,1.03911,1.45411,0.7898,0.70736,0.77495,0.39084,0.40508,1.56675,1.04878,1.83584,0.0006106,0.0006106,0.0006106
61,952.437,1.18129,1.04544,1.4646,0.79912,0.71308,0.7823,0.53695,0.45283,1.48531,1.11066,1.73139,0.000604,0.000604,0.000604
62,967.686,1.17068,1.04711,1.457,0.62041,0.72743,0.75061,0.48798,0.4606,1.34538,1.11326,1.59799,0.0005974,0.0005974,0.0005974
63,983.086,1.18029,1.04634,1.45511,0.78346,0.71967,0.76472,0.45878,0.45465,1.41938,1.10436,1.72964,0.0005908,0.0005908,0.0005908
64,998.509,1.1641,1.00601,1.43631,0.69391,0.76895,0.77555,0.45566,0.43948,1.54168,1.01383,1.84211,0.0005842,0.0005842,0.0005842
65,1013.99,1.15265,1.01107,1.45376,0.66765,0.71961,0.75255,0.41978,0.40638,1.52567,1.26735,1.77358,0.0005776,0.0005776,0.0005776
66,1029.64,1.16099,1.01394,1.44686,0.73922,0.77574,0.80151,0.4589,0.45361,1.56904,0.95434,1.87438,0.000571,0.000571,0.000571
67,1045.28,1.15511,1.00241,1.44699,0.76238,0.70536,0.78515,0.54279,0.50316,1.3926,1.01978,1.74579,0.0005644,0.0005644,0.0005644
68,1060.7,1.16892,0.98029,1.43423,0.62959,0.74433,0.71551,0.43099,0.4308,1.53057,1.18444,1.85178,0.0005578,0.0005578,0.0005578
69,1076.3,1.15272,0.98673,1.43228,0.78589,0.74137,0.79707,0.43859,0.45595,1.46008,1.11475,1.73631,0.0005512,0.0005512,0.0005512
70,1091.99,1.15877,0.98114,1.43594,0.80837,0.76654,0.81592,0.44478,0.4589,1.5365,1.07286,1.85227,0.0005446,0.0005446,0.0005446
71,1107.46,1.13802,0.97551,1.41953,0.75476,0.62673,0.71951,0.45311,0.43139,1.53993,1.08966,1.8494,0.000538,0.000538,0.000538
72,1122.79,1.12883,0.96837,1.41962,0.79713,0.75773,0.7961,0.39465,0.42757,1.6102,1.02487,1.94783,0.0005314,0.0005314,0.0005314
73,1138.29,1.12875,0.97603,1.42641,0.76041,0.75481,0.74502,0.43355,0.43134,1.50864,1.05254,1.7984,0.0005248,0.0005248,0.0005248
74,1154.29,1.14318,0.96866,1.42362,0.7644,0.67701,0.72733,0.38406,0.40949,1.57305,1.04412,1.84799,0.0005182,0.0005182,0.0005182
75,1170.05,1.1309,0.95169,1.41945,0.82164,0.75503,0.83117,0.4616,0.48373,1.65525,1.02836,1.99091,0.0005116,0.0005116,0.0005116
76,1185.2,1.13493,0.98387,1.43508,0.81682,0.7018,0.74962,0.47092,0.4436,1.52709,1.11341,1.81435,0.000505,0.000505,0.000505
77,1200.31,1.11723,0.95824,1.41098,0.66032,0.80677,0.78834,0.4319,0.45025,1.38563,1.14717,1.70192,0.0004984,0.0004984,0.0004984
78,1215.81,1.12385,0.93657,1.40926,0.74868,0.78568,0.82085,0.45552,0.44735,1.53603,1.11954,1.79193,0.0004918,0.0004918,0.0004918
79,1231.44,1.12144,0.9597,1.4202,0.7682,0.7274,0.77226,0.45112,0.42577,1.5004,1.13561,1.80224,0.0004852,0.0004852,0.0004852
80,1246.87,1.09956,0.92256,1.39937,0.77028,0.80628,0.7932,0.48784,0.46994,1.48678,0.96546,1.81042,0.0004786,0.0004786,0.0004786
81,1262.47,1.10063,0.92056,1.40864,0.81197,0.81556,0.79391,0.51645,0.47739,1.46776,0.9966,1.81724,0.000472,0.000472,0.000472
82,1277.77,1.11738,0.92027,1.4127,0.71565,0.77343,0.76035,0.38106,0.41907,1.48033,1.05604,1.79055,0.0004654,0.0004654,0.0004654
83,1293.4,1.09688,0.90572,1.39065,0.72328,0.81047,0.75536,0.4449,0.42226,1.56747,0.99415,1.95264,0.0004588,0.0004588,0.0004588
84,1308.72,1.0939,0.9137,1.39419,0.79429,0.72367,0.73862,0.46286,0.44223,1.49626,1.04267,1.86365,0.0004522,0.0004522,0.0004522
85,1324.29,1.08533,0.89482,1.38762,0.72942,0.8199,0.81243,0.43119,0.44153,1.53237,1.05969,1.78539,0.0004456,0.0004456,0.0004456
86,1339.75,1.09488,0.9135,1.39192,0.74081,0.81196,0.79141,0.46941,0.4634,1.53322,1.01745,1.83649,0.000439,0.000439,0.000439
87,1355.12,1.07422,0.89213,1.37255,0.70372,0.74045,0.7377,0.42376,0.43387,1.47654,1.27149,1.76469,0.0004324,0.0004324,0.0004324
88,1370.77,1.09975,0.90935,1.39531,0.82544,0.75901,0.78566,0.43622,0.46768,1.52749,1.06034,1.87793,0.0004258,0.0004258,0.0004258
89,1386.24,1.08391,0.91039,1.38503,0.69594,0.82434,0.77026,0.47396,0.48251,1.39799,1.00732,1.76718,0.0004192,0.0004192,0.0004192
90,1401.27,1.07454,0.89713,1.38772,0.81815,0.80025,0.79383,0.47854,0.46991,1.51353,0.96184,1.84789,0.0004126,0.0004126,0.0004126
91,1416.38,1.06687,0.89406,1.37771,0.82475,0.76522,0.7829,0.484,0.45628,1.46585,0.95466,1.84626,0.000406,0.000406,0.000406
92,1431.52,1.06522,0.86661,1.37435,0.63794,0.73761,0.70144,0.39106,0.40926,1.61598,1.25807,2.00825,0.0003994,0.0003994,0.0003994
93,1447.03,1.04478,0.8517,1.36228,0.77977,0.77622,0.82899,0.48437,0.45111,1.53627,0.98413,1.85123,0.0003928,0.0003928,0.0003928
94,1462.95,1.04793,0.85817,1.36347,0.76401,0.81329,0.79664,0.46486,0.44469,1.54415,1.2222,1.8759,0.0003862,0.0003862,0.0003862
95,1478.3,1.04928,0.85205,1.36736,0.80573,0.77966,0.7949,0.3739,0.43287,1.58315,1.04246,1.85718,0.0003796,0.0003796,0.0003796
96,1493.38,1.06116,0.87561,1.36573,0.76723,0.65477,0.7091,0.43035,0.42805,1.5828,1.04056,1.92793,0.000373,0.000373,0.000373
97,1508.94,1.05103,0.85139,1.35733,0.70654,0.77051,0.74494,0.44452,0.42395,1.58829,0.97543,1.96163,0.0003664,0.0003664,0.0003664
98,1524.29,1.04591,0.84325,1.35425,0.64251,0.76501,0.776,0.51133,0.47234,1.45742,1.17718,1.8357,0.0003598,0.0003598,0.0003598
99,1539.84,1.04682,0.85061,1.36013,0.81893,0.68833,0.78961,0.46067,0.46818,1.44736,1.00071,1.80521,0.0003532,0.0003532,0.0003532
100,1555.68,1.04106,0.83781,1.36075,0.78329,0.7844,0.77155,0.44056,0.46082,1.58159,1.01005,1.94269,0.0003466,0.0003466,0.0003466
101,1571.45,1.02264,0.82455,1.34688,0.76394,0.73154,0.80446,0.47338,0.45936,1.55664,1.04108,1.88775,0.00034,0.00034,0.00034
102,1586.95,1.02157,0.82479,1.34344,0.90132,0.7532,0.83836,0.43236,0.44278,1.69089,0.95212,2.0966,0.0003334,0.0003334,0.0003334
103,1602.31,1.03742,0.82676,1.34613,0.80492,0.81979,0.8195,0.41359,0.44676,1.58636,1.07833,1.93915,0.0003268,0.0003268,0.0003268
104,1617.91,1.01413,0.83344,1.34275,0.75559,0.77074,0.77631,0.50578,0.46953,1.50306,1.05251,1.8346,0.0003202,0.0003202,0.0003202
105,1633.62,0.99172,0.81732,1.33298,0.67045,0.77105,0.74296,0.5059,0.453,1.51142,1.10597,1.8647,0.0003136,0.0003136,0.0003136
106,1648.94,1.00033,0.81168,1.3249,0.68456,0.83702,0.75334,0.41558,0.41801,1.5832,1.01377,1.9559,0.000307,0.000307,0.000307
107,1664.14,1.01241,0.80256,1.32395,0.6542,0.76437,0.73664,0.40262,0.41749,1.53695,1.18892,1.84938,0.0003004,0.0003004,0.0003004
108,1679.83,0.98827,0.79035,1.32198,0.66915,0.74257,0.71122,0.4446,0.4271,1.63148,1.05652,1.96822,0.0002938,0.0002938,0.0002938
109,1695.65,1.00227,0.793,1.3159,0.6865,0.80868,0.79125,0.4292,0.44028,1.55514,1.039,1.88819,0.0002872,0.0002872,0.0002872
110,1711.87,1.00879,0.79286,1.32828,0.74711,0.74868,0.74588,0.39095,0.41752,1.58051,0.96396,1.95881,0.0002806,0.0002806,0.0002806
111,1727.17,0.97519,0.78156,1.30292,0.6757,0.76244,0.72925,0.43449,0.43731,1.54306,0.96774,1.93457,0.000274,0.000274,0.000274
112,1743.3,0.98887,0.77672,1.31962,0.66134,0.76026,0.72238,0.426,0.43157,1.59684,1.0303,2.03274,0.0002674,0.0002674,0.0002674
113,1759.13,0.97974,0.78241,1.3077,0.69676,0.83815,0.77165,0.40534,0.42741,1.55439,0.99894,1.91518,0.0002608,0.0002608,0.0002608
114,1774.81,0.99593,0.76975,1.31326,0.75524,0.78296,0.77308,0.46594,0.45017,1.55278,0.94878,1.97154,0.0002542,0.0002542,0.0002542
115,1790.13,0.97681,0.7658,1.29489,0.80301,0.76693,0.77855,0.44804,0.4258,1.60905,0.96735,2.03858,0.0002476,0.0002476,0.0002476
116,1805.43,0.98301,0.76358,1.30604,0.68901,0.8181,0.76816,0.4241,0.4527,1.58699,1.00409,1.91792,0.000241,0.000241,0.000241
117,1820.92,0.95538,0.76679,1.29642,0.74289,0.77855,0.77097,0.46289,0.45598,1.60073,0.97379,1.96876,0.0002344,0.0002344,0.0002344
118,1836.1,0.96335,0.76092,1.29322,0.69718,0.82712,0.76968,0.51079,0.44932,1.63486,0.92887,2.00056,0.0002278,0.0002278,0.0002278
119,1851.52,0.94685,0.74524,1.28494,0.73062,0.79841,0.78947,0.46667,0.44367,1.57187,0.95703,1.9344,0.0002212,0.0002212,0.0002212
120,1867.32,0.95313,0.75397,1.28722,0.73705,0.79509,0.78269,0.4526,0.4651,1.55135,0.89304,1.92156,0.0002146,0.0002146,0.0002146
121,1883.02,0.95365,0.74901,1.28021,0.70981,0.80193,0.78367,0.50464,0.48222,1.53936,0.91608,1.93812,0.000208,0.000208,0.000208
122,1898.56,0.93747,0.73543,1.27274,0.74884,0.78061,0.75043,0.49675,0.45827,1.5611,0.97865,1.95331,0.0002014,0.0002014,0.0002014
123,1914.13,0.93774,0.73045,1.26869,0.71289,0.7226,0.73616,0.43851,0.44972,1.6093,1.02785,1.99182,0.0001948,0.0001948,0.0001948
124,1930.03,0.95915,0.73928,1.28723,0.69041,0.78313,0.7136,0.4183,0.4256,1.60236,0.96435,1.97438,0.0001882,0.0001882,0.0001882
125,1945.92,0.9371,0.72896,1.27838,0.75204,0.72964,0.73124,0.43875,0.4241,1.66937,0.93805,2.06628,0.0001816,0.0001816,0.0001816
126,1961.47,0.93959,0.73847,1.27397,0.66891,0.80804,0.766,0.45723,0.44552,1.63865,0.94445,2.05638,0.000175,0.000175,0.000175
127,1976.99,0.92736,0.70488,1.26126,0.74906,0.7414,0.77162,0.43127,0.45813,1.66304,0.94191,2.11248,0.0001684,0.0001684,0.0001684
128,1992.87,0.92531,0.72285,1.26997,0.70646,0.77629,0.76525,0.42491,0.43849,1.61106,0.95228,2.03906,0.0001618,0.0001618,0.0001618
129,2008.36,0.91674,0.72619,1.27059,0.7309,0.73109,0.7723,0.52939,0.47963,1.5477,0.95454,1.95586,0.0001552,0.0001552,0.0001552
130,2023.86,0.91313,0.70973,1.25779,0.73178,0.76923,0.76867,0.50995,0.46131,1.57595,0.95169,1.96898,0.0001486,0.0001486,0.0001486
131,2039.3,0.91957,0.71115,1.2562,0.71237,0.81179,0.72384,0.4176,0.43812,1.59922,0.99175,2.01729,0.000142,0.000142,0.000142
132,2054.63,0.92221,0.72931,1.26232,0.75223,0.73201,0.77496,0.4845,0.47434,1.5427,0.91977,1.92081,0.0001354,0.0001354,0.0001354
133,2070.01,0.92459,0.70725,1.27156,0.69618,0.70345,0.71896,0.48414,0.44959,1.62727,0.90107,2.02161,0.0001288,0.0001288,0.0001288
134,2085.25,0.90682,0.70271,1.24987,0.709,0.79945,0.77846,0.48819,0.46627,1.55686,0.94092,1.93521,0.0001222,0.0001222,0.0001222
135,2100.61,0.9023,0.7076,1.24717,0.74174,0.79544,0.78168,0.52911,0.49145,1.53745,0.8934,1.93916,0.0001156,0.0001156,0.0001156
136,2116.03,0.89782,0.70532,1.25447,0.70818,0.7813,0.74276,0.50051,0.46668,1.59617,0.95466,2.04605,0.000109,0.000109,0.000109
137,2130.85,0.89218,0.68685,1.24686,0.70602,0.78215,0.75854,0.46709,0.45601,1.60364,0.97678,2.03657,0.0001024,0.0001024,0.0001024
138,2145.82,0.89522,0.68797,1.24727,0.65028,0.74457,0.68665,0.42159,0.43709,1.56731,1.0422,1.96703,9.58e-05,9.58e-05,9.58e-05
139,2160.9,0.88707,0.68134,1.24049,0.66139,0.78148,0.76239,0.46907,0.45259,1.60899,0.97653,2.07302,8.92e-05,8.92e-05,8.92e-05
140,2176.06,0.89291,0.69339,1.24847,0.70791,0.76973,0.76543,0.47587,0.45788,1.58634,0.98057,2.01345,8.26e-05,8.26e-05,8.26e-05
